Designator,Mid X,Mid Y,Rotation,Layer
J1,108.75,-31.0,0.0,top
J10,123.75,-76.0,0.0,top
J11,108.25,-86.5,0.0,top
J12,123.75,-86.5,0.0,top
J13,44.025,-38.6,90.0,top
J2,123.75,-31.0,0.0,top
J21,62.27,-38.65,0.0,top
J22,62.27,-80.81,0.0,top
J3,108.75,-42.0,0.0,top
J4,123.75,-42.0,0.0,top
J5,108.75,-53.0,0.0,top
J6,123.75,-53.0,0.0,top
J7,108.75,-65.0,0.0,top
J8,123.75,-65.0,0.0,top
J9,108.75,-76.0,0.0,top
U1,85.601003,-55.05,0.0,top
U2,44.5,-74.0,270.0,top
